Godina;Broj ljudi
2021;7874965732
2022;7953952577
2023;8031800338
2024;8108605255
2025;8184437453
2026;8259276651
2027;8333078318
2028;8405863301
2029;8477660723
2030;8548487371
2031;8618349454
2032;8687227873
2033;8755083512
2034;8821862705
2035;8887524229
2036;8952048885
2037;9015437616
2038;9077693645
2039;9138828562
2040;9198847382
2041;9257745483
2042;9315508153
2043;9372118247
2044;9427555382
2045;9481803272
2046;9534854673
2047;9586707749
2048;9637357320
2049;9686800146
2050;9735033900
2051;9782061758
2052;9827885441
2053;9872501562
2054;9915905251
2055;9958098746
2056;9999085167
2057;10038881262
2058;10077518080
2059;10115036360
2060;10151469683
2061;10186837209
2062;10221149040
2063;10254419004
2064;10286658354
2065;10317879315
2066;10348098079
2067;10377330830
2068;10405590532
2069;10432889136
2070;10459239501
2071;10484654858
2072;10509150402
2073;10532742861
2074;10555450003
2075;10577288195
2076;10598274172
2077;10618420909
2078;10637736819
2079;10656228233
2080;10673904454
2081;10690773335
2082;10706852426
2083;10722171375
2084;10736765444
2085;10750662353
2086;10763874023
2087;10776402019
2088;10788248948
2089;10799413366
2090;10809892303
2091;10819682643
2092;10828780959
2093;10837182077
2094;10844878798
2095;10851860145
2096;10858111587
2097;10863614776
2098;10868347636
2099;10872284134
2100;10875393719
